 5506.0 1.786157346e-10
 5516.0 1.424241572e-12
 5526.0 1.911968589e-11
 5536.0 1.670270277e-12
 5546.0 4.081440438e-11
 5556.0 2.546456168e-10
 5566.0 7.401099527e-11
 5576.0 4.572442829e-11
 5586.0 1.087289756e-10
 5596.0 1.159768002e-10
 5606.0 2.350355916e-12
 5616.0 4.193529641e-10
 5626.0 2.769848763e-12
 5636.0 1.420085832e-10
 5646.0 3.551051708e-10
 5656.0 1.524837864e-10
 5666.0 4.453153471e-10
 5676.0 4.051683064e-10
 5686.0 4.676785314e-12
 5696.0 2.832462060e-10
 5706.0 4.057774825e-10
 5716.0 7.067008783e-11
 5726.0 2.136493084e-10
 5736.0 6.361800799e-11
 5746.0 6.264449837e-10
 5756.0 1.673096080e-10
 5766.0 3.523582543e-11
 5776.0 2.351712631e-10
 5786.0 3.186542972e-10
 5796.0 2.133973121e-10
 5806.0 6.907891707e-12
 5816.0 2.352590965e-10
 5826.0 6.950491941e-10
 5836.0 1.588938714e-10
 5846.0 3.128389118e-10
 5856.0 4.769786125e-10
 5866.0 1.287363366e-11
 5876.0 2.163134295e-10
 5886.0 2.383458601e-10
 5896.0 1.328306863e-09
 5906.0 4.864951253e-10
 5916.0 1.331806378e-09
 5926.0 1.551376063e-10
 5936.0 3.627085331e-10
 5946.0 1.885681251e-09
 5956.0 3.945196142e-10
 5966.0 4.225355221e-10
 5976.0 6.454664402e-10
 5986.0 9.184979904e-11
 5996.0 2.359238491e-10
 6006.0 1.956469584e-11
 6016.0 2.722823217e-11
 6026.0 6.148019227e-11
 6036.0 1.808298536e-10
 6046.0 6.983993155e-10
 6056.0 3.449060817e-10
 6066.0 5.700846211e-10
 6076.0 3.276532068e-10
 6086.0 2.072219284e-11
 6096.0 3.748085634e-10
 6106.0 3.232101600e-10
 6116.0 1.295460690e-10
 6126.0 8.643450511e-10
 6136.0 7.618439548e-10
 6146.0 2.119888818e-11
 6156.0 2.856978689e-10
 6166.0 4.845389818e-10
 6176.0 2.143522233e-11
 6186.0 2.832337455e-10
 6196.0 1.634964546e-10
 6206.0 2.171483872e-11
 6216.0 5.590549522e-10
 6226.0 5.030383084e-10
 6236.0 9.083892998e-11
 6246.0 9.149696201e-10
 6256.0 2.207680499e-11
 6266.0 9.712583218e-10
 6276.0 2.262898400e-10
 6286.0 1.609814088e-09
 6296.0 2.235922596e-11
 6306.0 1.365340117e-10
 6316.0 1.212330406e-09
 6326.0 1.181236892e-09
 6336.0 1.633204908e-09
 6346.0 5.329211722e-10
 6356.0 2.274879802e-11
 6366.0 1.434640440e-09
 6376.0 5.965043927e-11
 6386.0 8.859670202e-10
 6396.0 5.864336004e-10
 6406.0 1.353125144e-09
 6416.0 1.556160272e-10
 6426.0 1.596670221e-09
 6436.0 5.684717993e-11
 6446.0 1.619850965e-09
 6456.0 1.804352847e-09
 6466.0 9.529172990e-10
 6476.0 7.152683745e-10
 6486.0 5.338408820e-11
 6496.0 1.551165887e-09
 6506.0 3.667135407e-10
 6516.0 5.344410241e-11
 6526.0 5.695397379e-10
 6536.0 6.245560762e-10
 6546.0 1.026569826e-09
 6556.0 2.063782204e-09
 6566.0 6.735423264e-10
 6576.0 9.981012836e-10
 6586.0 1.485711763e-09
 6596.0 3.069193843e-10
 6606.0 4.243919624e-10
 6616.0 2.357056834e-11
 6626.0 2.331791283e-09
 6636.0 7.392499978e-10
 6646.0 7.876886264e-10
 6656.0 1.368881416e-09
 6666.0 5.767405910e-11
 6676.0 1.859610323e-09
 6686.0 1.743174142e-09
 6696.0 1.790058864e-10
 6706.0 5.608695094e-11
 6716.0 5.152983800e-10
 6726.0 1.007807511e-09
 6736.0 1.032221483e-09
 6746.0 3.060564876e-11
 6756.0 5.349567289e-10
 6766.0 2.838091363e-09
 6776.0 1.026884315e-09
 6786.0 1.057113941e-09
 6796.0 1.808601327e-09
 6806.0 8.030158112e-10
 6816.0 2.382177501e-11
 6826.0 2.088921630e-09
 6836.0 2.329142625e-09
 6846.0 9.988979474e-10
 6856.0 1.890585772e-09
 6866.0 2.252612311e-09
 6876.0 1.376581259e-09
 6886.0 2.390772071e-11
 6896.0 1.518593355e-09
 6906.0 1.607494597e-09
 6916.0 5.183102742e-10
 6926.0 1.719602019e-09
